thickness	StressThickness	R	T	P	Melting_T
67.77432	-45.07965956	0.08	295	0.27	2938
85.9356	-59.39598574	0.08	295	0.27	2938
104.07688	-73.5831243	0.08	295	0.27	2938
122.37488	-87.47791433	0.08	295	0.27	2938
140.5124	-100.7762036	0.08	295	0.27	2938
158.6476	-114.2017765	0.08	295	0.27	2938
176.78	-127.5367421	0.08	295	0.27	2938
194.8996	-140.7151076	0.08	295	0.27	2938
213.01112	-154.7296667	0.08	295	0.27	2938
231.1276	-168.9772861	0.08	295	0.27	2938
249.70536	-184.2174715	0.08	295	0.27	2938
267.8176	-199.494582	0.08	295	0.27	2938
285.91696	-215.1167962	0.08	295	0.27	2938
304.00464	-231.4298674	0.08	295	0.27	2938
322.08496	-248.3835012	0.08	295	0.27	2938
341.39032	-266.4264244	0.08	295	0.27	2938
359.91616	-284.3637165	0.08	295	0.27	2938
381.21472	-304.4790759	0.08	295	0.27	2938
399.26576	-322.6723396	0.08	295	0.27	2938
