thickness	StressThickness	R	T	P	Melting_T
61.632	166.2756111	0.24	295	0.27	2180
74.2752	196.3011065	0.24	295	0.27	2180
86.91192	224.283651	0.24	295	0.27	2180
99.546	250.9643379	0.24	295	0.27	2180
112.6428	275.9968343	0.24	295	0.27	2180
125.26584	299.933763	0.24	295	0.27	2180
137.8824	321.1883007	0.24	295	0.27	2180
150.48984	342.3484654	0.24	295	0.27	2180
163.56072	363.8551998	0.24	295	0.27	2180
177.55632	385.2558475	0.24	295	0.27	2180
190.62192	404.3898397	0.24	295	0.27	2180
203.68224	422.5877602	0.24	295	0.27	2180
216.2724	438.9451874	0.24	295	0.27	2180
229.32864	455.359533	0.24	295	0.27	2180
241.91472	470.2523396	0.24	295	0.27	2180
