thickness	StressThickness	R	T	P	Melting_T
69.04116	31.27564911	0.12	295	0.27	2896
75.76968	34.32858242	0.12	295	0.27	2896
82.26564	37.27476245	0.12	295	0.27	2896
88.5288	39.97329275	0.12	295	0.27	2896
94.7904	42.76985068	0.12	295	0.27	2896
101.51532	46.51615858	0.12	295	0.27	2896
107.77752	49.92909381	0.12	295	0.27	2896
114.03768	53.38401901	0.12	295	0.27	2896
120.29736	56.85775632	0.12	295	0.27	2896
126.56772	60.69557894	0.12	295	0.27	2896
132.8316	64.48262719	0.12	295	0.27	2896
139.09164	68.91669508	0.12	295	0.27	2896
145.58316	72.51189393	0.12	295	0.27	2896
152.538	77.44897922	0.12	295	0.27	2896
158.79552	81.65927046	0.12	295	0.27	2896
165.05088	86.31324768	0.12	295	0.27	2896
172.69548	91.58607657	0.12	295	0.27	2896
178.95288	96.314186	0.12	295	0.27	2896
185.20908	100.9472408	0.12	295	0.27	2896
192.1614	106.1084077	0.12	295	0.27	2896
198.41832	110.8444952	0.12	295	0.27	2896
204.6738	115.8363556	0.12	295	0.27	2896
210.93048	120.8467083	0.12	295	0.27	2896
217.18392	125.9937097	0.12	295	0.27	2896
223.43808	130.646629	0.12	295	0.27	2896
229.69236	135.7259786	0.12	295	0.27	2896
235.94604	141.1223245	0.12	295	0.27	2896
242.19648	146.2750276	0.12	295	0.27	2896
248.44884	151.289531	0.12	295	0.27	2896
255.16776	157.2151765	0.12	295	0.27	2896
261.42228	162.5416301	0.12	295	0.27	2896
267.67464	167.3091299	0.12	295	0.27	2896
273.92844	172.6439495	0.12	295	0.27	2896
280.18056	178.0151851	0.12	295	0.27	2896
286.43256	183.1613405	0.12	295	0.27	2896
292.68552	188.8010268	0.12	295	0.27	2896
298.9386	194.2470158	0.12	295	0.27	2896
305.19156	199.5119781	0.12	295	0.27	2896
311.4426	204.6336301	0.12	295	0.27	2896
317.69316	210.4305107	0.12	295	0.27	2896
323.9442	215.7752609	0.12	295	0.27	2896
330.19668	221.7597694	0.12	295	0.27	2896
336.44592	227.0880007	0.12	295	0.27	2896
342.69528	233.0283022	0.12	295	0.27	2896
349.4094	238.8155075	0.12	295	0.27	2896
355.65924	245.0166083	0.12	295	0.27	2896
362.60304	251.1119354	0.12	295	0.27	2896
368.85048	256.6035166	0.12	295	0.27	2896
375.09816	262.4981362	0.12	295	0.27	2896
381.3474	267.6132836	0.12	295	0.27	2896
387.59376	273.8701825	0.12	295	0.27	2896
393.84372	279.6981069	0.12	295	0.27	2896
