thickness	StressThickness	R	T	P	Melting_T
38.4751	31.62761608	0.02	295	0.27	2183
41.28012	35.48084691	0.02	295	0.27	2183
44.08542	38.91516848	0.02	295	0.27	2183
46.89038	42.63051694	0.02	295	0.27	2183
49.695	46.16760576	0.02	295	0.27	2183
52.49932	49.47377326	0.02	295	0.27	2183
55.3798	52.58514397	0.02	295	0.27	2183
58.1833	55.38471729	0.02	295	0.27	2183
60.98682	58.32126994	0.02	295	0.27	2183
64.01972	61.16085139	0.02	295	0.27	2183
67.4364	64.51084754	0.02	295	0.27	2183
71.16062	67.86792076	0.02	295	0.27	2183
75.53658	71.3312275	0.02	295	0.27	2183
79.45162	74.64516123	0.02	295	0.27	2183
83.5583	77.66109641	0.02	295	0.27	2183
86.7822	79.94822245	0.02	295	0.27	2183
89.77574	82.05366086	0.02	295	0.27	2183
92.76872	84.07339313	0.02	295	0.27	2183
95.99286	86.0270847	0.02	295	0.27	2183
98.79414	87.87044383	0.02	295	0.27	2183
101.59598	89.65988784	0.02	295	0.27	2183
104.39714	91.35835021	0.02	295	0.27	2183
107.19832	93.04138789	0.02	295	0.27	2183
109.99872	94.80718599	0.02	295	0.27	2183
112.7988	96.22671674	0.02	295	0.27	2183
115.5995	97.8705893	0.02	295	0.27	2183
118.39984	99.38559669	0.02	295	0.27	2183
121.19988	100.9199494	0.02	295	0.27	2183
124.00034	102.3394193	0.02	295	0.27	2183
126.80066	103.7487232	0.02	295	0.27	2183
129.60052	105.0884435	0.02	295	0.27	2183
132.4002	106.5516773	0.02	295	0.27	2183
135.20062	107.9219222	0.02	295	0.27	2183
138.00106	109.1801489	0.02	295	0.27	2183
140.80104	110.5250943	0.02	295	0.27	2183
143.60102	111.882517	0.02	295	0.27	2183
146.40074	113.0694842	0.02	295	0.27	2183
149.20054	114.1813492	0.02	295	0.27	2183
152.00044	115.6264814	0.02	295	0.27	2183
154.80044	116.8155914	0.02	295	0.27	2183
157.60036	118.0189918	0.02	295	0.27	2183
160.40014	119.1394911	0.02	295	0.27	2183
163.19896	120.5000883	0.02	295	0.27	2183
165.99788	121.6174872	0.02	295	0.27	2183
168.79664	122.8170115	0.02	295	0.27	2183
171.59568	124.0127573	0.02	295	0.27	2183
174.43328	124.8119954	0.02	295	0.27	2183
177.23264	126.0668426	0.02	295	0.27	2183
