thickness,StressThickness,R,T,P,Melting_T
63.2301,63.24450161,0.06,295,0.27,2183
71.4255,72.91141269,0.06,295,0.27,2183
79.84788,82.8371169,0.06,295,0.27,2183
88.50534,91.94504647,0.06,295,0.27,2183
96.9279,100.1671164,0.06,295,0.27,2183
105.11958,107.9401344,0.06,295,0.27,2183
113.3085,115.4707179,0.06,295,0.27,2183
121.49808,122.4078686,0.06,295,0.27,2183
129.68832,129.1129251,0.06,295,0.27,2183
137.87184,135.4847204,0.06,295,0.27,2183
146.63442,142.0966259,0.06,295,0.27,2183
156.204,148.9592904,0.06,295,0.27,2183
167.3862,156.1004498,0.06,295,0.27,2183
178.5738,163.8087886,0.06,295,0.27,2183
189.40764,170.396502,0.06,295,0.27,2183
200.12322,176.4558723,0.06,295,0.27,2183
209.68422,182.2744186,0.06,295,0.27,2183
218.55486,187.2406485,0.06,295,0.27,2183
227.07846,191.9721517,0.06,295,0.27,2183
236.06172,196.9650505,0.06,295,0.27,2183
244.46712,201.4046367,0.06,295,0.27,2183
252.6495,205.8311065,0.06,295,0.27,2183
260.83266,209.8703384,0.06,295,0.27,2183
269.00784,214.058908,0.06,295,0.27,2183
277.41066,218.4844253,0.06,295,0.27,2183
285.81666,222.5851333,0.06,295,0.27,2183
293.99178,226.4100303,0.06,295,0.27,2183
302.1705,230.0559294,0.06,295,0.27,2183
310.3545,233.8019414,0.06,295,0.27,2183
318.76032,237.680082,0.06,295,0.27,2183
327.1632,241.36272,0.06,295,0.27,2183
335.78946,245.3402187,0.06,295,0.27,2183
343.95648,249.0299531,0.06,295,0.27,2183
352.12134,252.5335789,0.06,295,0.27,2183
360.28992,256.2402682,0.06,295,0.27,2183
368.4609,259.7504582,0.06,295,0.27,2183
376.63236,263.2183509,0.06,295,0.27,2183
384.80724,266.4549581,0.06,295,0.27,2183
392.98032,270.3058905,0.06,295,0.27,2183
