thickness,StressThickness,R,T,P,Melting_T
119.83032,-186.844954,0.08,295,0.27,3695
138.24104,-225.2560062,0.08,295,0.27,3695
156.95192,-260.6002361,0.08,295,0.27,3695
175.50056,-293.0859809,0.08,295,0.27,3695
193.58584,-321.9116513,0.08,295,0.27,3695
211.66312,-349.7888932,0.08,295,0.27,3695
229.88936,-378.2594973,0.08,295,0.27,3695
248.41144,-407.0686614,0.08,295,0.27,3695
268.17072,-437.7287977,0.08,295,0.27,3695
314.92904,-502.7711372,0.08,295,0.27,3695
344.24184,-542.4808686,0.08,295,0.27,3695
362.59336,-567.6190339,0.08,295,0.27,3695
380.64056,-592.3352407,0.08,295,0.27,3695
398.68944,-616.7266664,0.08,295,0.27,3695
